name,facet,segment,novel,v1_match,n_docs,n_B,n_G,grounded,groups,variants,definition,evidence,docs
visibility,criterion,G∩B,False,Quality,2,1,2,1.00,Elements of Eﬀective Public Cycle Parking,visibility | Visibility,The degree to which a facility or road user can be seen by others.,"The distinctive coloration provides a clearly delineated route, making the infrastructure more attractive and at the same time legible and intuitive (coherence).",W3165427569 W4317438483
surveys,data_modality,G∩B,False,survey,2,1,2,1.00,,surveys,Subjective measurement method using questionnaires to gather user feedback and perceptions.,A questionnaire can at least include questions about trip and traveller characteristics.,W1925772252 W3206499245
prêdkoœæ do projektowania,metric,G∩B,False,DesignSpeed,2,2,2,1.00,Basic parameters of bicycle infrastructure | InfrastructuralMetric,design speed | prêdkoœæ do projektowania,The speed value used as a basis for determining geometric parameters of bicycle infrastructure to ensure safety and consistent riding conditions.,"Zasadniczo przepisy projektowe wyró¿niaj¹ trzy prêdkoœci: minimaln¹ (nisk¹), podstawow¹ (lub standardow¹) i wysok¹ (ponadstandardow¹).",W3149601746 W3206499245
Traffic volume,metric,B∖G,False,TrafficVolume,2,2,0,1.00,Safety,Traffic volume | traffic volume,"This indicator tracks the density of motorized vehicles, which is inversely related to the perceived safety of cycling.",", 2016 ) Traffic volume A data on traffic volumes with high- enough density of measuring points.",W4402615958 W4416332193
Public transport and bicycle,metric_group,B∖G,True,,2,2,0,1.00,,Public transport and bicycle | Transport services and intermodality,This category addresses the integration of cycling with transit systems to extend catchment areas and facilitate longer trips.,3 Public transport and bicycle Cycling supports public transport by extending the catchment area of transit stops far beyond walking range and at much lower cost than buses and park-and-ride facilities for cars.,W1965352281 W3206354380
cycling infrastructure,other,B∖G,True,,2,2,0,1.00,design parameters,cycling infrastructure | Cycling infrastructure,The specific physical configuration or layout provided for cyclists within a shared lane.,"This paper presents an analysis of design guidelines for SBBLs applied in Europe, North America and Australia, showing that the type of cycling infrastructure, the alignment within the SBBL and the lane width , are the parameters that should be considered to ensure safety and efficiency of these two",W2777700178 W4402615958
must have,threshold,G∩B,True,,2,1,2,0.33,,must have,A mandatory requirement or minimum standard that must be met for a facility to be considered acceptable.,strictly mandatory criteria (“must have”),W3206354380 W3206499245
nice to have,threshold,G∩B,True,,2,1,2,1.00,,nice to have,A non-mandatory criterion that provides additional value but is not strictly required for basic functionality.,"Therefore, two categories of criteria were defined: strictly mandato- ry criteria (“must have”) and non-mandatory criteria (“nice to have”).",W3206354380 W3206499245
matrix-based methods,aggregation,G∩B,True,,1,1,1,1.00,,matrix-based methods,A decision framework that combines multiple variables like speed and volume to categorize the required infrastructure type.,"Both Hungary and Slovakia apply a pragmatic matrix based on speed and volume, while the UK promotes quality criteria outlined in Local Transport Note 1/20, including safety, comfort, and coherence [5].",W4416332193
vibration and visual inspection,aggregation,B∖G,True,,1,1,0,1.00,Comfort assessment methods,vibration and visual inspection,This approach pairs sensor-recorded vibration data with manual or digital visual checks to verify the cause of surface roughness.,A visual inspection was carried out to verify the recorded vibration through the app.,W4408618846
Ability to lock the bike frame,criterion,G∩B,False,Security,1,1,1,1.00,Qualitative design standards,ability to lock the bike frame | Ability to lock the bike frame,A security feature ensuring that a bicycle frame can be physically secured to the parking structure.,[37] [38] [6] [39] [40] [41] [42] [5] Location North America Australia Europe United Kingdom Denmark Austria Germany Germany Protection Ability to lock the bike frame Covering/weather protection Accessibility Barrier-free access P Max.,W4393006393
Barrier-free access,criterion,G∩B,False,Accessibility,1,1,1,0.50,Qualitative design standards,Barrier-free access | barrier-free access,The requirement that parking facilities be accessible without physical impediments such as stairs.,Barrier-free access,W4393006393
bicycle infrastructure design principles,criterion,B∖G,True,,1,1,0,1.00,,bicycle infrastructure design principles,"These are five internationally recognized criteria—safety, comfort, attractiveness, directness, and coherence—that inclusive cycling infrastructure must meet.","Cycling-friendly infrastructure must meet five internationally recognized criteria: safety, comfort, attractiveness, directness, and coherence [49,51–53].",W4392992203
cohesiveness,criterion,G∖B,False,Coherence,1,0,1,1.00,,cohesiveness,The degree to which a cycle network is continuous and well-connected without gaps.,"A cycle route must fit closely to the criteria of safety, directness, cohesiveness, comfort and attractiveness.",W1965352281
connected networks,criterion,G∖B,False,Connectivity,1,0,1,1.00,,connected networks,"A transportation system where walking, bicycling, and transit routes are integrated to provide seamless travel.","Figure 2-4 Metro’s First Last Mile Strategic Plan (2014) outlines ways to increase access sheds around stops and stations SECTION 2: ACCESS SHEDS AND NETWORKS FEDERAL TRANSIT ADMINISTRATION 18 Connected Networks Multimodal transportation systems require connected walking, bicycling, and transit netw",W2758447314
control and enforcement program,criterion,B∖G,True,,1,1,0,1.00,design parameters,control and enforcement program,Administrative and physical measures to ensure the lane is used only by authorized vehicles and that traffic rules are followed.,"Beyond the parameters considered in a normal bus lane, designing a SBBL should add parameters that diminish the probability of interaction between the bicycle and bus flow (Reid & Guthrie, 2004; Baumann, Brennan & Zeibots, 2012; Pucher & Buehler, 2012; Frings, Parkin & Ridley, 2014) such as, the cyc",W2777700178
criterion,criterion,B∖G,True,,1,1,0,0.00,,criterion,"A criterion is a qualitative assessment objective, such as safety or accessibility, that requires quantifiable observations.","We defined EvaluationCriterion as a qualitative assessment requiring quantifiable observations (i.e., evaluation metrics).",W4401996679
design appreciation,criterion,G∖B,False,Attractiveness,1,0,1,1.00,,design appreciation,The level of satisfaction or preference expressed by users regarding the physical design and quality of cycling infrastructure.,"The evaluations produced a wealth of information a bout the impacts of interventions in bicycle infrastructure on travel choices, safety, design appreciation, and other factors.",W1925772252
diversiﬁcation,criterion,G∩B,True,,1,1,1,1.00,Elements of Eﬀective Public Cycle Parking,diversification | diversiﬁcation,The provision of a variety of parking types to accommodate different user needs and preferences.,"Diversiﬁcation • In order to satisfy diverse preferences amongst diﬀerent users, public transit stations could beneﬁt from a mix of cycle parking, particularly in terms of protection ( Molin & Maat, 2015 ).",W4317438483
E-bike charging infrastructure,criterion,G∖B,True,,1,0,1,1.00,,E-bike charging infrastructure,The availability of electrical outlets to charge e-bike batteries at the parking location.,"• Inclusion of space for cargo bikes and e-bike charging infrastructure, comprising standard electrical outlets at the parking space, at a minimum.",W4393006393
efficiency,criterion,B∖G,False,Efficiency,1,1,0,1.00,,efficiency,The ability of the transport system to maintain flow and reduce travel time for buses and cyclists.,"Therefore, the design of shared bus-bike lanes (SBBLs) should ensure efficiency and safety for buses and cyclists.",W2777700178
integration,criterion,G∩B,False,Connectivity,1,1,1,1.00,Elements of Eﬀective Public Cycle Parking,integration,"The alignment of new cycle parking with existing infrastructure, practices, and wider transport policies.","Integration • Consider existing cycles (e.g., their value, type), locking and parking practices, and parking facilities –namely, the existing cycle parking system –when planning public cycle parking ( Larsen, 2017 ; Martens, 2007 ).",W4317438483
Legibility,criterion,G∖B,False,Navigability,1,0,1,1.00,,Legibility,The ease with which a user can understand the intended path or function of an infrastructure.,"The distinctive coloration provides a clearly delineated route, making the infrastructure more attractive and at the same time legible and intuitive (coherence).",W3165427569
Personal Safety and Security,criterion,G∩B,False,Security,1,1,1,1.00,,personal safety and security | Personal Safety and Security,A thematic category for indicators related to the physical safety of passengers and the security of their property.,"This section covers key concepts necessary for creating quality station areas for walking and bicycling, including factors around the station area (i.",W2758447314
pollution,criterion,G∖B,False,AirQuality,1,0,1,1.00,,pollution,The level of exposure to environmental hazards such as air quality and noise that affect cyclist health.,The consideration of indicators that identify the environmental pollution conditions can help in planning and promote cycling.,W3129869580
protection,criterion,G∩B,False,Security,1,1,1,1.00,Elements of Eﬀective Public Cycle Parking,protection,"The provision of measures to safeguard cycles from theft, vandalism, or harsh weather conditions.","Protection • If public visibility is sub-optimal and/or existing open cycle parking is not well used, protected cycle parking may be appropriate ( Arbis et al.",W4317438483
quality of cycling and tourism infrastructure,criterion,G∖B,False,Quality,1,0,1,1.00,,quality of cycling and tourism infrastructure,The standard and adequacy of physical facilities provided for cycling and tourism activities.,"As a result, the quality of cycling and tourism infrastructure also varies significantly along the Danube.",W3206354380
repair tools,criterion,G∖B,False,Comfort,1,0,1,1.00,,repair tools,"The availability of basic maintenance equipment such as pumps, patch kits, and wrenches for guest use.","7 Basic maintenance/repair tools (e.g., inner tubes, chains, pumps, and wrench sets) must be available for guest use.",W4408037045
Safe standing when parking,criterion,G∩B,False,Comfort,1,1,1,1.00,Qualitative design standards,Safe standing when parking,A requirement that the parking structure must hold the bicycle upright and stable.,"5 Usability Safe standing when parking Lighting Consideration/ Differentiation Short-/long-term parking Visitors/permanent users W Cargo bikes E-bike charging Legend Included Not included A Adjacent to destinations P At ground level, via ramps, elevators, or push ramps D Depending on the trip purpos",W4393006393
School bikeability,criterion,G∩B,False,Bikeability,1,1,1,1.00,,School bikeability,"School bikeability is the extent to which the urban landscape accommodates the cycling of children, specifically considering the preconditions deemed conducive by their caregivers.","Bikeability is viewed here similarly to the definitions of Wysling and Purves ( 2022 ) and Karolemeas et al. ( 2022 ), as the ability of the urban landscape to accommodate cycling.",W4402615958
secure parking,criterion,G∖B,False,Security,1,0,1,1.00,,secure parking,"The provision of a safe, protected, and monitored area for storing bicycles overnight.",A secure parking or storage area for bicycles emerges as a mandatory criterion common to all certification systems.,W4408037045
tailored nutritional services,criterion,G∖B,False,Comfort,1,0,1,1.00,,tailored nutritional services,"Food and beverage offerings specifically designed to meet the energy and dietary needs of cyclists, such as special menus or packed provisions.","9 In facilities with a restaurant or a breakfast hall, a special breakfast menu must be prepared for cyclists, with accompanying information on content and nutritional values.",W4408037045
Geographic Information System,data_modality,G∖B,False,GIS,1,0,1,1.00,,Geographic Information System,"A system designed to capture, store, manipulate, analyze, and present spatial or geographic data.","All 11 papers used Geographic Information System (GIS) data, and two of them29,31 also employed self-reported information on environmental character- istics (Table 1).",W4283793738
instrumented probe bicycle,data_modality,G∖B,True,,1,0,1,1.00,,instrumented probe bicycle,A bicycle equipped with various sensors to collect objective data on infrastructure conditions.,Instrumented probe bicycle Instrumented probe bicycles have traditionally been used in bicycling research to assess the condition of cycling infrastructure.,W4408618846
permanent counts,data_modality,G∩B,False,count,1,1,1,1.00,,permanent counts,Continuous measurement of cyclist traffic volumes at specific cross-sections over an extended period.,"An indicator for the success of actions and policies is measuring bicycle based eco-tourism over longer periods, with permanent counts of cyclists.",W3206499245
self-reported information,data_modality,G∖B,False,survey,1,0,1,1.00,,self-reported information,A method of measurement based on subjective user perceptions or surveys.,"All 11 papers used Geographic Information System (GIS) data, and two of them29,31 also employed self-reported information on environmental character- istics (Table 1).",W4283793738
smart bicycle lights,data_modality,G∖B,True,,1,0,1,1.00,,smart bicycle lights,Sensor-equipped bicycle lights used as a platform for collecting vibration and journey data.,Smart bicycle lights Two studies have used smart bike lights as novel platforms to collect vibration data (Ahmed et al.,W4408618846
street view imagery,data_modality,G∖B,False,camera,1,0,1,1.00,,street view imagery,The use of street-level photographic data to audit or extract environmental indicators.,"Recent BIs have utilized emerging technologies and data sources, in- cluding remote sensing images, virtual auditing through SVI, and crowdsourcing, for data collection [36,71–73].",W4392992203
traffic counts,data_modality,G∖B,False,count,1,0,1,1.00,,traffic counts,Objective measurement method using sensors or manual counting to record the number of road users.,"Traffic counts principally register the changes in cycling volume most accurately, but they cannot link chan ges to either causes for a change or characteris tics of the trip (e.",W1925772252
accessibility deserts,metric,G∩B,True,,1,1,1,1.00,CompositeMetric | Equity metrics,Accessibility deserts | accessibility deserts,Areas identified as having low accessibility combined with high socioeconomic disadvantage.,Wang et al. (2024 ) identified accessi- bility deserts as areas where accessibility does not exceed 20% of the median level of job accessibility.,W7158934745
Active Commuter Route Environment (ACRE),metric,B∖G,True,,1,1,0,1.00,Bikeability Index (BI),Active Commuter Route Environment (ACRE),A framework incorporating self-reported data to evaluate commuting routes.,"Wahlgren and Schantz [ 68 ] included self-reported data in their Active Commuter Route Environment (ACRE) framework, demonstrating the importance of subjective factors in commuting route evaluations.",W4406598183
Advisory cycle lane,metric,G∖B,True,,1,0,1,1.00,InfrastructuralMetric,Advisory cycle lane,"A lane intended for cyclists but not legally restricted, often used on narrow roads where mixing with motor vehicles is required.","An advisory bicycle lane describes an area intended for, but not legally restricted to the cyclists ’ use ( Fig.",W3165427569
Air quality,metric,G∩B,False,AirQuality,1,1,1,1.00,ContextualMetric | Surrounding environment,Air quality,This indicator assesses the impact of air pollution on the health and willingness of people to cycle.,Air quality can also influence people’s decision whether to cycle or not (Zhao et al.,W4402615958
appreciation of design,metric,B∖G,True,,1,1,0,1.00,design appreciations,appreciation of design,A qualitative assessment of how well infrastructure design features meet the preferences and needs of cyclists.,"Design appreciations The studies gave sometimes detailed information (Instituut voor Zintuigfysiologie, Rijkswat erstaat, 1982) and m ore often general evidence about the appre ciation of design of cycling infrastructure .",W1925772252
Area-Wide Bikeability Assessment Model,metric,G∖B,True,,1,0,1,1.00,CompositeMetric,Area-Wide Bikeability Assessment Model,A model used to assess the bikeability of urban zones or areas rather than individual segments.,"Authors have used various nomenclatures for BIs, such as the ABAM, BikeDNA, etc.",W4392992203
Area-wide bikeability assessment model (ABAM),metric,B∖G,True,,1,1,0,1.00,Bikeability Index (BI),Area-wide bikeability assessment model (ABAM),A zone-based method using an Analytic Network Process framework to evaluate the friendliness of an area to biking.,"Similarly, Lin and Wei [ 56 ] computed an Area-wide bikeability assessment model (ABAM) method to evaluate zone-based friendliness to biking within an area.",W4406598183
automatic counting points,metric,G∖B,False,TrafficCount,1,0,1,1.00,InfrastructuralMetric,automatic counting points,A device or sensor used to measure the number of bicycle trips at specific locations.,Between calendar week eleven and twelve the number of bicycle trips measured by the twelve Viennese automatic counting points decreased by 22 percent [10].,W3206354380
Availability,metric,B∖G,True,,1,1,0,1.00,Cycle Infrastructure,Availability,This indicator tracks the existence of specific cycling facilities like bicycle lanes within a given area or route.,"When addressing availability, most authors ex- clusively consider the existence of bicycle lanes [2,8,17,18].",W3129869580
Behavior,metric,B∖G,True,,1,1,0,1.00,Safety,Behavior,These indicators capture the attitudes and behaviors of cyclists and drivers regarding safety and enforcement.,"• Behavior: According to the literature, these criteria of the safety domain refer to indica- tors that reﬂect the behavior adopted by cyclists and drivers, the perception of danger and risk, and the local enforcement activity.",W3129869580
behavioral risk indicator,metric,G∩B,True,,1,1,1,1.00,Comfort assessment methods | ContextualMetric,behavioral risk indicator,A method employed in studies to evaluate behavioral risks associated with cycling.,"The studies used multiple methods to assess the collected data, including Dynamic comfort index (DCI), bicycle comfort mapping, behavioral risk indicator, RMS (Root Mean Square), IRI (International Roughness Index), vibration and visual inspection, BEQI(Bicycle Environmental Quality Index), Cycling ",W4408618846
bent-out crossings,metric,G∩B,True,,1,1,1,1.00,InfrastructuralMetric | protected intersections and priority crossings,bent-out crossings | bent-out cycle paths,A crossing design that diverts the cycle path away from the main carriageway at intersections to improve visibility and allow vehicles to yield safely.,Bent-out crossings ( Figure 5 ) divert the cycle path away from the main carriageway as it reaches the intersection.,W7152735000
betweenness centrality,metric,G∖B,False,BetweennessCentrality,1,0,1,1.00,GraphMetric,betweenness centrality,A measure of the number of shortest paths that pass through a specific node or edge in a network.,"We also introduced six evalua - tion metric subclasses: InfrastructuralMetric , ContextualMetric , MorphologicalMetric , ModeMetric , GraphMetric and CompositeMetric : • Graph Metrics refer to typical centrality measures such as between - ness or degree centrality.",W4401996679
Bicycle Safety Index,metric,G∖B,False,Safety,1,0,1,1.00,CompositeMetric,Bicycle Safety Index,"An assessment method that evaluates infrastructure safety by analyzing risks related to traffic volume, road geometry, and conflict potential.","Lastly, the BSI considers only safety when evaluating the infrastructure through various variables.",W4406598183
Bicycle Safety Index Rating,metric,G∖B,False,Safety,1,0,1,1.00,CompositeMetric,Bicycle Safety Index Rating,A rating system specifically focused on assessing the safety of bicycle infrastructure.,"Some of the most commonly used metrics are bicycle level of service (BLOS), the bicycle compatibility index (BCI), bicycle safety index rating (BSIR), bicycle suitability rating, CycleRap, and the bikeability index (BI) [6,7,16,21–24].",W4392992203
Bicycle Sharing System,metric,B∖G,True,,1,1,0,1.00,Cycle Infrastructure,Bicycle Sharing System,This indicator evaluates the availability and spatial coverage of bicycle sharing systems within an urban area.,"However, only two works slightly considered the effect of BSS on bikeability indexes through the evaluation of the availability of BSS [18,20], spatial coverage of the BSS service, and the lack of available bicycles or docks in public, rental stations [20].",W3129869580
Bicycle traffic volume,metric,B∖G,True,,1,1,0,1.00,Safety,Bicycle traffic volume,"This indicator quantifies the volume of bicycle traffic, which contributes to the 'safety-in-numbers' effect.",Bicycle traffic flow is important due to the “safety-in-numbers effect” which suggests that a higher volume of cyclists on the streets increases the overall visibility of cyclists and helps other road users to be better prepared to safely interact with cyclists (Codina et al.,W4402615958
bicycle use,metric,G∩B,False,Performance,1,1,1,1.00,ModeMetric | travel behaviour,bicycle use | cycling volume,The volume or frequency of cycling activity measured within a specific area or along a route.,"The survey expresses cycling volume in two indicators: usage of a bike for on e or more trips on the reporting day, and number of bicycle trips per person per day.",W1925772252
Bicycle-Friendly Accommodation Facility Certificate,metric,G∩B,True,,1,1,1,1.00,CompositeMetric,Bicycle-Friendly Accommodation Facility Certificate,A formal certification issued by the Turkish Ministry of Culture and Tourism to standardize and recognize accommodation services for cyclists.,The Bicycle-Friendly Accommodation Facility Certificate standardizes the services that tourism-certified accommodation establishments offer their cycling guests.,W4408037045
bike box,metric,G∩B,True,,1,1,1,1.00,InfrastructuralMetric | Infrastructure,Bike box | bike box,A designated space at the head of a traffic lane that allows cyclists to wait in a highly visible location during red signal phases.,"This trafﬁc control device intended to hold queuing cyclists at the head of a trafﬁc lane while they are waiting to proceed through the intersection takes on different names: bike box (United States and Canada), advanced stop line reservoir (United Kingdom) and expanded storage area (Australia) are ",W3165427569
Bike Composite Index,metric,G∖B,True,,1,0,1,1.00,CompositeMetric,Bike Composite Index,An index integrating attractiveness factors like network density and safety factors like crash risk to evaluate bike-friendly planning.,"Complementing this, ref. [64] introduced a Bike Composite Index (BCI) integrating two dimensions: attractiveness (network density, land use mix and slope) and safety (crash risk and infrastructure features).",W7118196403
Bike Composite Index (BCI),metric,B∖G,True,,1,1,0,1.00,Investigated characteristics and attributes of network affecting users’ choice,Bike Composite Index (BCI),"An index that combines network density, land use, slope, crash risk, and infrastructure features.","Complementing this, ref. [64] introduced a Bike Composite Index (BCI) integrating two dimensions: attractiveness (network density, land use mix and slope) and safety (crash risk and infrastructure features).",W7118196403
bike lane type,metric,G∖B,False,BikeLaneType,1,0,1,1.00,InfrastructuralMetric,bike lane type,A classification of the physical infrastructure provided for cyclists.,"• Infrastructural Metrics refer to network physical properties like signage, pavement, or bike facility types.",W4401996679
Bike Score®,metric,B∖G,True,,1,1,0,1.00,BI,Bike Score®,A tool that models the relationship between bikeability and cycling mode share.,Bike Score® models relationships between bikeability and cycling mode share.,W4406598183
bike share,metric,G∖B,True,,1,0,1,1.00,ModeMetric,bike share,"A shared bicycle service that allows users to pick up and drop off bicycles at various locations, often used for first/last mile connections.",Figure 8-10 Passenger on LA Metro Gold Line with folding bicycle from CALSTART Source: CALSTART SECTION 9 FEDERAL TRANSIT ADMINISTRATION 73 Bike Share and Transit Bike share can act as a means of extending the transit system out from the transit stop or station.,W2758447314
Bivariate Local Moran’s I,metric,G∩B,True,,1,1,1,1.00,Equity metrics | GraphMetric,Bivariate Local Moran’s I,A spatial statistic used to identify where low accessibility systematically coincides with social disadvantage.,"While the Local Moran’s I identifies spatial clusters of accessibility alone, the Bivariate Local Moran’s I explicitly relates accessibility patterns to socioeco - nomic variables, making it more consistent with vertical equity perspectives by revealing where low accessibility systematically coincid",W7158934745
bus-cyclist interaction,metric,G∖B,False,Conflictness,1,0,1,1.00,ContextualMetric,bus-cyclist interaction,The frequency or nature of encounters between buses and cyclists sharing the same space.,"Apart of efficiency and safety, combining two modes of transport in the same space generates concerns such as the bus- cyclist interaction.",W2777700178
calculated accessibility,metric,B∖G,True,,1,1,0,1.00,,calculated accessibility,An objective measure of the ability to reach destinations based on spatial and transport data.,"Van Wee (2021) distinguishes between calculated and perceived accessibility, defined as individuals’ subjective assessment of how easily they can reach desired destinations using a given mode (Negm et al.",W7158934745
car and bike travel time difference,metric,G∖B,False,BikeAndCarTravelTimeRatio,1,0,1,1.00,ModeMetric,car and bike travel time difference,A metric comparing the travel time of cyclists versus motorists between two points.,"• Mode Metrics refer to measures related to particular transport modes and their interactions, like car volume or car and bike travel time difference.",W4401996679
Cargo bikes,metric,B∖G,True,,1,1,0,0.00,Qualitative design standards,Cargo bikes,The requirement to provide dedicated space for larger cargo bicycles.,Cargo bikes,W4393006393
City Cycle Infrastructure Score (CCIS),metric,B∖G,True,,1,1,0,1.00,BLOS,City Cycle Infrastructure Score (CCIS),A scoring system based on infrastructure audits to evaluate bicycle facilities.,Hull and O’Holleran [ 47 ] methodology of the City Cycle Infrastructure Score (CCIS) is simple and based on the cycle infrastructure score system but dependent on extensive data collection.,W4406598183
Climate,metric,B∖G,True,,1,1,0,1.00,Exogenous Factors,Climate,Weather and seasonal conditions that impact the decision to cycle and user comfort.,"Climate Both weather and climate coupled with landscape and hilliness have been considered as the factors which most strongly aﬀect the decision of a person to cycle, which is in contrast with the choices made by the users of motor vehicles [24].",W3015673663
Collisions,metric,B∖G,True,,1,1,0,1.00,Safety,Collisions,This indicator identifies crash hot spots or the density of accidents to assess the safety of the cycling environment.,", 2006 ) Collisions A spatial dataset on the occurrence of collisions that involved a bicyclist.",W4402615958
colored pavements,metric,G∩B,True,,1,2,2,1.00,InfrastructuralMetric | Infrastructure,Colored pavement | colored pavements | spot treatment | Spot treatment,"A technique for applying a distinctive, contrasting surface color to bicycle facilities to improve visibility and reinforce priority.","This term refers to a broad range of techniques for giving to the bicycle facilities a distinctive and contrasting surfacing color compared to that of trafﬁc lanes or pedestrian area in order to increase the visibility of the facility and to reinforce priority to bicyclists in conﬂict areas (NACTO, ",W3165427569
competition-based measures,metric,B∖G,True,,1,1,0,1.00,Accessibility metrics,competition-based measures,Models like the Floating Catchment Area that account for the competition between users for limited opportunities.,"The third most common approach involved competition-based measures, particularly those in the Floating Catchment Area (FCA) family.",W7158934745
Composite Index of Accessibility,metric,B∖G,True,,1,1,0,1.00,Accessibility metrics,Composite Index of Accessibility,A metric combining passive and active accessibility.,Giuffrida et al. (2023) proposed a Composite Index of Accessibility combining passive accessibility (the user’s ability to access a service) and active accessibility (the opportunities reachable after accessing the service).,W7158934745
